,515rcbc156,515rcbc157,515rcbc159,515rcbc160,515rcbc161,515rcbc168,515rcbc169,515rcbc170,515rcbc174,515rcbc175,515rcbc176,515rcbc177,515rcbc178,515rcbc179,515rcbc180,515rcbc181,515rcbc184,515rcbc185,515rcbc186,515rcbc187,515rcbc188,515rcbc189,515rcbc190,515rcbc191,515rcbc192,515rcbc193,515rcbc194
4479944k__Bacteria; p__Actinobacteria; c__MB-A2-108; o__0319-7L14; f__; g__; s__,0.0,0.0,0.0,0.0,0.0,4.807354922057604,0.0,0.0,0.0,0.0,4.169925001442312,0.0,0.0,0.0,0.0,0.0,6.129283016944966,0.0,0.0,4.169925001442312,0.0,7.539158811108031,5.0,0.0,0.0,0.0,0.0
1041236k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1050608k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__,7.257387842692652,5.930737337562887,1.0,0.0,0.0,7.011227255423254,8.290018846932618,3.0,9.027905996569885,6.247927513443585,6.409390936137702,5.700439718141092,4.584962500721156,0.0,3.0,6.339850002884624,6.357552004618084,0.0,0.0,6.754887502163468,5.930737337562887,7.614709844115208,4.857980995127572,4.584962500721156,0.0,1.0,4.584962500721156
4479940k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
973124k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1124709k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Rhodocytophaga; s__,3.4594316186372973,0.0,0.0,0.0,0.0,6.303780748177103,0.0,0.0,3.169925001442312,2.807354922057604,7.339850002884624,0.0,0.0,0.0,3.321928094887362,0.0,6.087462841250339,0.0,0.0,5.78135971352466,2.584962500721156,0.0,0.0,0.0,0.0,0.0,0.0
436314k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium; s__faecium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333731k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__,5.357552004618084,0.0,1.0,0.0,0.0,4.459431618637297,0.0,0.0,2.0,0.0,2.807354922057604,0.0,0.0,0.0,0.0,0.0,5.930737337562887,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.285402218862249
728991k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.0,0.0,0.0,0.0,0.0,3.169925001442312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.807354922057604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
533625k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185100k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bacteriovoracaceae; g__; s__,6.954196310386875,2.0,2.584962500721156,0.0,0.0,6.392317422778761,0.0,0.0,2.0,0.0,5.426264754702098,0.0,0.0,0.0,3.0,5.832890014164741,7.05528243550119,0.0,0.0,5.906890595608519,0.0,0.0,4.087462841250339,0.0,0.0,0.0,0.0
217471k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__; s__,4.247927513443585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11544k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Frankiaceae; g__Frankia; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217472k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__Candidatus Koribacter; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.426264754702098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1008172k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Propionibacteriaceae; g__Propionibacterium; s__acnes,2.321928094887362,1.584962500721156,1.0,0.0,0.0,1.0,0.0,2.321928094887362,0.0,1.584962500721156,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.584962500721156,0.0,2.321928094887362,3.169925001442312,0.0,1.0,0.0,0.0
175148k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,1.0,1.0,0.0,0.0,0.0,0.0,3.4594316186372973,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
